key,Coffee,Calories,Caffèine (mg),price per mg of caffeine,serving size (ml),caffeine per ml,category,price ($),price (Qr),Coffee chain,contents / note,"sources: Starbucks Beverage Nutrition Guide, VeryWell calorie database, EatThisMuch. Values are based on standard/medium serving sizes. ",https://www.starbucks.com/menu/catalog/nutrition?drink=all#view_control=nutrition&drink=iced-coffee&drink=iced-tea&drink=brewed-coffee&drink=chocolate&drink=espresso&drink=frappuccino-blended-beverages,http://caloriecount.about.com/,https://news.starbucks.com/uploads/documents/nutrition.pdf,https://www.eatthismuch.com
26,Instant Coffee with milk,51,47,0.01,,,COFFEE,0.3,,,,,,,,
25,Red Bull,46,77,0.03,,,SOFT DRINK,2.5,,,,,,,,
24,Turkish Coffee ,46,25,0.12,,,COFFEE,2.9,14,Tuile Coffee Shop,with sugar,,,,,
23,Marocchino ,43,90,0.07,,,COFFEE,6.05,22,Caffè Vergnano 1882,"espresso, hot milk froth & chocolate powder",,,,,
22,English Breakfast tea with 2% fat milk & 1 sugar ,39,26,0.13,,,TEA,3.3,12,Starbucks Qatar,,,,,,
21,Caffè Americano with 2% fat milk,30,225,0.02,,,COFFEE,4.95,18,Caffè Vergnano 1882,with 2% fat milk,,,,,
20,Lungo,25,60,0.04,,,COFFEE,2.5,9,Columbus Cafe,,,,,,
19,English Breakfast tea with 2% fat milk ,23,26,0.13,,,TEA,3.3,12,Starbucks Qatar,,,,,,
18,Arabic Coffee,16,100,0.04,,,COFFEE,4.1,15,Tuile Coffee Shop,,,,,,
16,Caffè Americano,15,225,0.02,,,COFFEE,4.95,18,Caffè Vergnano 1882,,,,,,
17,Iced Caffè Americano ,15,225,0.02,,,COFFEE,4.95,18,Starbucks Qatar,,,,,,
15,Espresso Machiato ,9,65,0.08,,,COFFEE,4.95,18,Caffè Vergnano 1882,espresso with hot milk froth,,,,,
14,Double Espresso,6,130,0.04,,,COFFEE,4.7,17,Paul Café,,,,,,
13,Blond Roast ,5,360,0.01,,,COFFEE,3.85,14,Starbucks Qatar,,,,,,
11,Dark Roast,5,260,0.01,,,COFFEE,3.85,14,Starbucks Qatar,,,,,,
8,DeCaffèinated Espresso,5,25,0.20,,,COFFEE,4.95,16,Caffè Vergnano 1882,,,,,,
9,Espresso,5,65,0.05,,,COFFEE,3.3,12,Starbucks Qatar,,,,,,
12,Medium Roast ,5,310,0.01,,,COFFEE,3.85,14,Starbucks Qatar,,,,,,
10,Yerba Mate,5,85,0.03,,,TEA,2.85,,,,,,,,
7,Instant Coffee,4,47,0.00,,,COFFEE,0.2,,,,,,,,
5,Earl Grey,2,58,0.06,,,TEA,3.6,13,Tuile Coffee Shop,,,,,,
6,English Breakfast,2,58,0.06,,,TEA,3.6,13,Tuile Coffee Shop,,,,,,
4,Pepsi One,1,55,0.02,,,SOFT DRINK,1,,,can,,,,,
2,Diet Coke ,0,42,0.02,,,SOFT DRINK,1,,,"1 can, 330ml",,,,,
0,Green Tea,0,25,0.10,,,TEA,2.5,,,,,,,,
1,Pain relieving medication ,0,30,0.01,,,NON-DRINK,0.3,,,Anadin regular - 1 dose,,,,,
3,Pain relieving medication ,0,90,0.00,,,NON-DRINK,0.35,,,Anadin extra - 1 dose,,,,,
